objectID,title,description,category,type,anchor,url
admin-giftCardsPartialUpdate,giftCardsPartialUpdate,Update a gift card.,Admin API,gift-cards,/docs/api/admin/redirect/?v=2024-04-01#/operations/giftCardsPartialUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/giftCardsPartialUpdate
admin-giftCardsDeactivate,giftCardsDeactivate,Deactivate a gift card.,Admin API,gift-cards,/docs/api/admin/redirect/?v=2024-04-01#/operations/giftCardsDeactivate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/giftCardsDeactivate
admin-locationsList,locationsList,Retrieve a list of all configured fulfillment locations.,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/locationsList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/locationsList
admin-locationsCreate,locationsCreate,Create a new fulfillment location.,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/locationsCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/locationsCreate
admin-locationsDestroy,locationsDestroy,,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/locationsDestroy,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/locationsDestroy
admin-locationsRetrieve,locationsRetrieve,Retrieve an existing fulfillment location.,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/locationsRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/locationsRetrieve
admin-locationsUpdate,locationsUpdate,Update an existing fulfillment location.,Admin API,fulfillment,/docs/api/admin/redirect/?v=2024-04-01#/operations/locationsUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/locationsUpdate
admin-metadataList,metadataList,Retrieve a list of metadata definitions.,Admin API,metadata,/docs/api/admin/redirect/?v=2024-04-01#/operations/metadataList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/metadataList
admin-metadataCreate,metadataCreate,Create a new metadata definition.,Admin API,metadata,/docs/api/admin/redirect/?v=2024-04-01#/operations/metadataCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/metadataCreate
admin-metadataDestroy,metadataDestroy,Delete an existing metadata definition.,Admin API,metadata,/docs/api/admin/redirect/?v=2024-04-01#/operations/metadataDestroy,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/metadataDestroy
admin-metadataRetrieve,metadataRetrieve,Retrieve a metadata definition.,Admin API,metadata,/docs/api/admin/redirect/?v=2024-04-01#/operations/metadataRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/metadataRetrieve
admin-metadataPartialUpdate,metadataPartialUpdate,Partial update an existing metadata definition.,Admin API,metadata,/docs/api/admin/redirect/?v=2024-04-01#/operations/metadataPartialUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/metadataPartialUpdate
admin-metadataUpdate,metadataUpdate,Update an existing metadata definition.,Admin API,metadata,/docs/api/admin/redirect/?v=2024-04-01#/operations/metadataUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/metadataUpdate
admin-ordersList,ordersList,Retrieve a list of orders.,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersList
admin-ordersCreate,ordersCreate,Create a new order.,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersCreate
admin-ordersRetrieve,ordersRetrieve,Retrieve a order.,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersRetrieve
admin-ordersPartialUpdate,ordersPartialUpdate,Partial update an existing order.,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersPartialUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersPartialUpdate
admin-ordersUpdate,ordersUpdate,Update an existing order.,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersUpdate
admin-ordersAddLineItemsCreate,ordersAddLineItemsCreate,Add additional items to the order and charge the initial order payment method.,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersAddLineItemsCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersAddLineItemsCreate
admin-ordersCancelCreate,ordersCancelCreate,Cancel an existing order.,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersCancelCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersCancelCreate
admin-ordersCaptureCreate,ordersCaptureCreate,Captures the total amount of the previously authorized funds for this order.,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersCaptureCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersCaptureCreate
admin-ordersCollectPaymentCreate,ordersCollectPaymentCreate,Collect payment for an order outstanding balance on the order.                      Requires order original payment method to support merchant initiated transactions.,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersCollectPaymentCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersCollectPaymentCreate
